                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.116,                 1.1917,                 1.0381,                0.86523,                0.87406,                0.91282,                0.63467,                 1.0607,                0.63925,                   1.02,               0.070341,              0.0032955,              0.0032955
                      1,                 1.0162,                0.74595,                0.98192,                0.90705,                0.87043,                0.93814,                0.67182,                  1.018,                0.65801,                0.98804,               0.040078,              0.0063663,              0.0063663
                      2,                 1.0276,                0.74529,                0.98199,                0.88365,                0.88336,                0.91706,                0.65617,                 1.0143,                0.62157,                0.99015,              0.0095519,              0.0091731,              0.0091731
                      3,                 1.0186,                0.68736,                0.97675,                0.89873,                0.86985,                0.93246,                0.64893,                 1.0453,                0.72577,                 1.0108,               0.008812,               0.008812,               0.008812
                      4,                 1.0276,                0.66316,                 0.9825,                0.88876,                0.87543,                0.92586,                0.65978,                  1.031,                0.61832,                 1.0131,               0.008812,               0.008812,               0.008812
                      5,                 1.0108,                0.63092,                0.97666,                0.88999,                0.89676,                0.93315,                 0.6555,                 1.0875,                0.61734,                 1.0248,               0.008416,               0.008416,               0.008416
                      6,                0.99544,                0.60459,                0.97349,                0.89747,                0.87521,                0.93256,                0.65822,                 1.0644,                0.62739,                 1.0155,                0.00802,                0.00802,                0.00802
                      7,                0.99147,                0.59658,                0.96803,                0.90444,                0.90103,                0.93233,                0.67182,                 1.0179,                  0.576,                 1.0005,               0.007624,               0.007624,               0.007624
                      8,                0.99225,                0.57975,                0.96531,                 0.9022,                0.91209,                0.95087,                0.67556,                 1.0421,                0.58737,                 1.0037,               0.007228,               0.007228,               0.007228
                      9,                0.96737,                0.56127,                0.96271,                0.92417,                0.90674,                0.95395,                0.69057,                 1.0022,                0.55989,                0.99062,               0.006832,               0.006832,               0.006832
                     10,                0.94052,                0.53943,                0.95266,                0.92253,                 0.9039,                0.94662,                0.69149,                 0.9888,                0.53574,                0.98785,               0.006436,               0.006436,               0.006436
                     11,                0.95203,                 0.5326,                0.95639,                0.93075,                0.90772,                0.95749,                0.69525,                 1.0102,                0.52436,                0.99918,                0.00604,                0.00604,                0.00604
                     12,                0.93312,                0.51314,                0.94995,                0.92683,                0.91767,                0.96609,                0.71697,                 0.9677,                0.49922,                0.98073,               0.005644,               0.005644,               0.005644
                     13,                0.92576,                 0.5005,                0.94451,                0.93039,                0.91509,                0.95921,                0.69701,                 1.0248,                0.51739,                0.99567,               0.005248,               0.005248,               0.005248
                     14,                0.92121,                0.49375,                0.94022,                0.92358,                0.93541,                0.97141,                0.70671,                 1.0105,                0.49346,                0.99737,               0.004852,               0.004852,               0.004852
                     15,                 0.8928,                0.46172,                0.93457,                0.93062,                0.91738,                0.95769,                 0.7007,                 1.0076,                0.51583,                0.99037,               0.004456,               0.004456,               0.004456
                     16,                0.89605,                0.45438,                0.93552,                0.92755,                 0.9196,                0.96659,                0.70929,                 0.9997,                0.50873,                0.99235,                0.00406,                0.00406,                0.00406
                     17,                0.87746,                0.44568,                0.93071,                0.93638,                0.91195,                0.95959,                0.70521,                0.99335,                0.50771,                0.98731,               0.003664,               0.003664,               0.003664
                     18,                0.87637,                 0.4432,                0.92631,                 0.9322,                0.92268,                0.96913,                0.71954,                0.98319,                0.49722,                0.97793,               0.003268,               0.003268,               0.003268
                     19,                0.85484,                0.42349,                0.91906,                0.93326,                0.91447,                 0.9596,                0.71926,                0.96606,                0.48946,                0.97968,               0.002872,               0.002872,               0.002872
                     20,                0.83669,                0.41314,                0.91617,                0.94104,                0.91376,                0.96633,                0.71667,                0.97086,                0.48165,                0.97045,               0.002476,               0.002476,               0.002476
                     21,                0.83488,                0.40287,                0.91449,                0.94876,                0.92493,                0.96389,                0.72034,                0.98323,                0.46543,                0.98026,                0.00208,                0.00208,                0.00208
                     22,                0.81561,                0.38863,                0.90676,                0.94142,                0.91938,                0.96756,                 0.7255,                 0.9755,                0.47006,                0.97654,               0.001684,               0.001684,               0.001684
                     23,                0.80834,                0.37448,                 0.9032,                0.94242,                0.93568,                0.97292,                0.73203,                0.96598,                0.45207,                0.97467,               0.001288,               0.001288,               0.001288
                     24,                0.79074,                0.36501,                0.89844,                0.94212,                 0.9423,                0.97446,                 0.7333,                0.95689,                0.44352,                0.97479,               0.000892,               0.000892,               0.000892
